,Unnamed: 0,iteration,total_time,actor_loss,value_loss,actor_grad_norm,critic_grad_norm,episode_reward,episode_success,_timestamp,_runtime,episode_reward_planning,episode_success_planning,task
100,100,9999,2373.1875450611115,-8.988533973693848,0.1212528645992279,0.1013685464859008,0.7905023694038391,953.4000244140625,0.0,1719428123,3347,63.79999923706055,0.0,cartpole-swingup-sparse
100,100,9999,2565.9195811748505,-30.69612693786621,0.0014083785936236,0.0789795964956283,0.4477345943450928,999.7005615234376,0.0,1719428201,3536,920.9513549804688,0.0,cartpole-balance
100,100,9999,2453.159945487976,-22.76667022705078,0.0154778566211462,0.2962845861911773,0.7791047692298889,871.2000122070312,0.0,1719428649,3436,459.6000061035156,0.0,finger-turn-hard
100,100,9999,2381.7302050590515,-12.516061782836914,0.0118850516155362,0.0633652433753013,0.4915253818035126,825.9255981445312,0.0,1719437654,3341,311.12713623046875,0.0,cheetah-run-back
100,100,9999,2423.5040814876556,-7.329434394836426,0.179400697350502,0.0910787880420684,1.0220752954483032,116.35579681396484,0.0,1719428035,3418,49.17755508422851,0.0,acrobot-swingup
100,100,9999,2449.21906208992,-11.970837593078612,0.044010654091835,0.2466028779745102,1.2903664112091064,974.9000244140624,0.0,1719437832,3401,482.7999877929687,0.0,reacher-three-hard
100,100,9999,2455.826432466507,-15.400863647460938,0.0025058083701878,0.0357157476246356,0.2517879903316498,896.5960693359375,0.0,1719428133,3404,836.5051879882812,0.0,cartpole-swingup
100,100,9999,2507.699202299118,-28.16687774658203,0.0007404669304378,0.01983442902565,0.4797196686267853,471.6000061035156,0.0,1719428266,3475,0.0,0.0,cup-catch
100,100,9999,2396.084724664688,-17.444149017333984,0.0069753141142427,0.2830052971839905,0.3397572636604309,977.5999755859375,0.0,1719428202,3377,156.60000610351562,0.0,finger-spin
100,100,9999,2443.833443403244,-6.992250442504883,0.0084889326244592,0.0425359085202217,0.6441068053245544,844.3982543945312,0.0,1719428728,3432,578.1341552734375,0.0,fish-swim
100,100,9999,2416.473150253296,-13.35893440246582,0.0113771418109536,0.1771621406078338,0.7803748250007629,549.3646545410156,0.0,1719437708,3422,257.8262634277344,0.0,cheetah-run-front
100,100,9999,2439.9410705566406,-18.70887756347656,0.0017293452983722,0.0322661027312278,0.6255401968955994,991.7000122070312,0.0,1719427996,3443,978.2000122070312,0.0,reacher-easy
100,100,9999,2462.680488348007,-18.375499725341797,0.0008160426514223,0.0771335884928703,0.3382236063480377,857.75787353515625,0.0,1719427904,3414,250.65512084960935,0.0,walker-run
100,100,9999,2364.1271653175354,-10.493377685546877,0.0057420097291469,0.0170981083065271,0.7415387034416199,414.52359008789065,0.0,1719427845,3329,95.59764862060548,0.0,cheetah-run
100,100,9999,2503.6823694705963,-4.276995658874512,0.0285172685980796,0.0266775954514741,0.1090415194630622,394.674072265625,0.0,1719428787,3491,115.19850158691406,0.0,hopper-stand
100,100,9999,2487.9648113250732,-6.74702787399292,0.0430585481226444,0.0682716146111488,0.3526954650878906,165.07856369018555,0.0,1719437843,3469,20.19542121887207,0.0,hopper-hop-backwards
100,100,9999,2496.3933086395264,-26.16650390625,0.001059086760506,0.0130773447453975,0.6914054751396179,985.7897338867188,0.0,1719427936,3469,936.4597778320312,0.0,walker-walk
100,100,9999,2339.6974596977234,-13.611059188842772,0.002004743553698,0.0488006435334682,0.5812522768974304,600.9945373535156,0.0,1719437557,3301,339.1719970703125,0.0,cheetah-run-backwards
100,100,9999,2456.8147447109222,-14.433269500732422,0.0019373967079445,0.0430903695523738,0.1265369206666946,791.59049987792967,0.0,1719428743,3434,57.03064727783203,0.0,walker-run-backwards
100,100,9999,2451.744200706482,-24.710742950439453,0.0067122564651072,0.1203492879867553,0.4678358435630798,879.7000122070312,0.0,1719428290,3446,576.2999877929688,0.0,finger-turn-easy
100,100,9999,2396.7340631484985,-22.9244441986084,0.0004995010676793,0.0377847626805305,0.4185825288295746,1000.0,0.0,1719428069,3364,1000.0,0.0,cartpole-balance-sparse
100,100,9999,2433.9620156288147,-21.59664726257324,0.0051254057325422,0.0530579984188079,0.358510673046112,793.8089599609375,0.0,1719437760,3418,385.8245544433594,0.0,cheetah-jump
100,100,9999,2459.51402926445,-20.57361221313477,0.0004229372134432,0.0283659473061561,0.402428537607193,866.8795776367188,0.0,1719437973,3476,473.0505981445313,0.0,pendulum-spin
100,100,9999,2442.5667209625244,-21.033342361450195,0.0012337835505604,0.0270304828882217,0.6014790534973145,989.0999755859376,0.0,1719437799,3396,979.2000122070312,0.0,reacher-three-easy
100,100,9999,2410.8113260269165,-7.873926639556885,0.0354910641908645,0.5502343773841858,0.2632428109645843,162.372398376464844,0.0,1719428691,3395,1.6057014465332031,0.0,hopper-hop
100,100,9999,2451.052365541458,-21.026878356933594,0.0007770095253363,0.0047585414722561,0.3816577196121216,977.772,0.0,857.39404,0.0,1715928089,0.0,walker-walk-backwards
100,100,9999,2365.497800588608,-9.8380126953125,0.0020116469822824,0.0438389368355274,0.2407628893852234,869.0999755859375,0.0,1719428007,3361,93.1999969482422,0.0,pendulum-swingup
100,100,9999,2477.353898048401,-34.61119842529297,0.0002427943254588,0.2607626318931579,0.2622526288032532,839.6467895507812,0.0,1719437921,3455,708.5969848632812,0.0,cup-spin
100,100,9999,2540.8505182266235,-28.532974243164062,0.0002661675680428,0.0077805989421904,0.4355088472366333,995.400390625,0.0,1719427978,3543,782.2808837890625,0.0,walker-stand
100,100,9999,2389.543841600418,-11.258541107177734,0.001849259249866,0.0232669673860073,0.6423989534378052,988.2999877929688,0.0,1719427958,3373,971.2000122070312,0.0,reacher-hard
