"Step","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/cartpole-swingup/13/default/models/250000.pt - pretrain/episode_reward","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/cartpole-swingup/13/default/models/250000.pt - pretrain/episode_reward__MIN","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/cartpole-swingup/13/default/models/250000.pt - pretrain/episode_reward__MAX","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/cartpole-swingup/13/default/models/100000.pt - pretrain/episode_reward","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/cartpole-swingup/13/default/models/100000.pt - pretrain/episode_reward__MIN","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/cartpole-swingup/13/default/models/100000.pt - pretrain/episode_reward__MAX","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/cartpole-swingup/13/default/models/50000.pt - pretrain/episode_reward","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/cartpole-swingup/13/default/models/50000.pt - pretrain/episode_reward__MIN","supervised_model_dir: /storage/home/hcoda1/6/vgiridhar6/FoWM-vanilla/wmlab/logs/cartpole-swingup/13/default/models/50000.pt - pretrain/episode_reward__MAX"
"0","81.4709323064199","7.765294048206156","202.69328381908375","107.00297932008435","4.0436677872592615","221.87821369904964","61.22829073122443","16.17052813036806","88.42625292632428"
"2500","102.9638667791849","76.28784352964165","116.52709623645566","137.3319520941283","77.36580642174843","198.08983086389264","180.94002731646563","136.18231113160883","243.9735243799612"
"5000","119.20981067191347","90.77897625672271","141.5995002330345","90.01891248272585","46.92159918365192","127.65881829193071","57.081682115678035","41.837530167039766","68.91589519326331"
"7500","11.030363649800305","0.17213297385152806","31.789328223921153","3.8104128861557505","0.24355083788862752","6.481679634736582","14.843006930923274","2.044718100111777","35.13252217204754"
"10000","4.659953786629615","0.6476621479250129","8.813181288431583","25.7097903620777","3.8240010984221278","48.607915996426456","31.829342413087385","19.525692705434004","51.26283372208045"
"12500","73.88386117003228","34.408607769267576","149.4896124601976","77.17777311578514","5.9168985561150595","182.3775684099182","23.95381092586533","13.832466743846016","41.330677842190724"
"15000","194.9274836330478","158.5404930012755","243.4643902203481","171.92292104607213","5.496530271288881","255.71070849005386","103.684875529929","11.54122851141069","159.56567989491188"
"17500","113.14286288454889","45.020838220178874","227.21693627480346","95.59058505627776","17.726798093624218","134.70554116868203","88.50942915477005","40.858207444718026","163.98454658430697"
"20000","175.95092219286423","111.8858655329899","237.09257765634734","162.78542393055181","152.2286899561327","183.50521309550908","98.34088550656348","9.148701046200255","155.81137779962108"
"22500","163.6869783271384","105.51536198357947","217.24059969182403","143.71027843540847","131.4476990068395","161.96568628509996","128.9834608737015","74.11349355248431","200.82649245273223"
"25000","141.1565045458303","39.260179821646275","202.982904141324","125.22437870433755","67.72810413429029","176.3487745162882","82.73444383465524","8.998122381771486","190.49129370030738"
"27500","447.58429665736804","140.86710091436862","735.2919798426423","61.56068343412907","9.268829743172954","133.33951578560945","64.43212840218636","3.878833844245764","183.13915461896886"
"30000","252.72048217301844","30.356349115629325","365.6109082444212","135.0827969754565","134.09542975898142","136.95780412569775","120.69477084357459","4.4966450344403714","226.9602022826868"
"32500","246.69289486338675","48.53935984855168","486.31730511095805","258.77759497309665","135.6834455219214","482.9688480241149","172.62166796289475","8.153714112512114","355.95003454006047"
"35000","223.58262599894374","163.2524270325532","325.5566037185984","127.3918430611016","14.55053750365525","207.23403358458148","120.0397716844235","7.470644621724745","286.8608426022323"
"37500","307.9343278670393","235.1001313214925","384.7967520861955","153.20619872665785","124.63123906174997","183.19394633369674","125.01346666585296","83.45325600785102","153.8998329567449"
"40000","358.00882506945555","169.50074921593833","566.278199553608","421.30947722049046","129.98375360514265","805.5127728794699","119.93791061172932","61.755531183228165","172.18530596718654"
"42500","310.22233229206216","195.64684156575575","489.1199099690108","181.69891582272408","140.9273849081672","246.6953758660771","178.14974166186562","142.42178987282395","245.1074121568593"
"45000","520.9313038288786","198.17860663110616","815.0697313985256","474.7065840182545","132.69857753334787","830.0085958501355","177.30896354184446","129.1564655235767","216.48809930303804"
"47500","360.8403341814294","134.66494341846933","789.5771940648563","359.3796152141992","131.41035247339045","806.75674562063","193.56826874366274","146.38189336936958","287.5236568501813"
"50000","570.6717237495808","419.2171291283438","724.3438598919774","552.4026665092971","145.3235781950936","834.456557214419","160.03986452592298","118.78094723647351","216.36236704437974"
"52500","387.533249461319","110.81994786972595","687.8164894794828","212.25192182210762","132.06969087862873","336.72100822088476","154.6023198316109","57.18321948418128","267.29103415392666"
"55000","674.0423694765135","611.8068257144671","724.6546966339334","359.743725614236","133.794838256157","809.4024902024593","297.061650868385","167.17434668993369","478.4933669291392"
"57500","400.12879980109557","129.35921196883555","546.5134481676075","356.9205168289014","135.84653261028694","780.477324414973","181.24271670450898","121.6992012438786","232.45718614553238"
"60000","376.8526210202154","162.0772614122361","552.8759147148681","360.0307849401167","133.27785650287245","777.0370074288751","360.4061581961269","319.2440006864892","429.9269760847677"
"62500","446.6259898254261","225.88523240409253","685.689085891465","304.5581411849953","138.9040140379901","625.7081683326362","397.8236838810482","226.1209524076547","703.416880331414"
"65000","539.6794688172716","271.65273016528204","771.6746058527717","487.2497811386972","128.01618235634","804.2975865186378","422.65640652164416","209.49805034318996","773.6376626350442"
"67500","583.7490451770651","271.40529790530957","751.1129123813237","333.31621104724144","140.06497325547065","606.6117461287794","317.9427291734951","269.6822038448488","364.21347962102016"
"70000","539.73923925286","335.88171128453666","769.2943900054748","462.2596803910581","143.18364433616972","776.2912793210897","299.17737478902546","236.34496855434546","332.49634025207973"
"72500","697.2254927837694","607.1175088036896","806.0265522561967","552.0246798769284","149.12308173575872","816.6480106046832","208.51409174994174","131.75301539041797","260.3169307453002"
"75000","464.9926053327135","278.547595518231","797.3416971800917","537.8589880715438","164.85148467374015","815.5182725962651","381.1230084013807","127.89196530396536","649.227828378482"
"77500","566.0830058827847","296.27036262295604","808.7697030005642","790.6574073435904","677.4035260980403","877.0167976078744","340.62544456155547","104.40869233997242","584.7305090642946"
"80000","614.7295850638325","532.9995592003839","676.0413622738611","761.6809590187195","651.1794008096554","853.9637418404096","427.63492119331363","87.95681483974595","712.2595036626462"
"82500","570.0603695230183","394.62722477846853","684.7598451283759","458.14886877460305","160.12657041049306","873.7277637490585","220.59363696695868","102.19377596590411","412.6945323884521"
"85000","692.6952595811887","644.9717302976969","774.9470274955796","764.0860641871986","620.5810669178065","873.254572233126","143.3934920350887","139.7419156099913","149.7154243203392"
"87500","579.185760846604","250.94442831071828","768.2184802030619","703.0798276274539","457.01575653867803","863.0893443681983","420.1438706473784","149.8248271319326","780.0886117142022"
"90000","368.8314829300384","153.47909721805985","556.5201190119069","727.2914771526521","531.6489453554768","872.1482092420359","441.99012329712633","124.20458859569229","678.2742417179219"
"92500","454.01378824699805","192.73021855426117","662.5460792642513","536.5685011690772","182.55014607412372","780.1539103218178","494.20940632769356","355.66152384557745","722.853773685493"
"95000","563.5295630425347","266.10675113650495","791.7791816522716","759.6111501637282","715.942679997113","843.3175602903491","347.16260246858275","151.0287652211843","520.3761906560823"
"97500","735.553336019327","694.2764597422869","789.2127404918435","410.48447512202915","152.6428818415267","813.622615921221","383.7190017974958","187.3917397770646","531.3693151937326"
"100000","452.44823666546307","222.587154433042","693.109646641646","716.5325586656364","626.799332354992","814.2555215677876","227.6721190463004","124.03598341528293","371.2967340715786"
"102500","645.6834002211757","481.14822405402253","759.4485489664035","770.8669939081634","694.2863016240505","871.7482713533873","209.173520795607","144.08871864170214","310.09542825075175"
"105000","603.0079822103365","304.6169279503568","843.7337205103411","717.4648340458389","489.2194454398347","873.7270906765128","298.1262530827323","140.58219448925507","548.0633046718664"
"107500","537.3988431023448","287.42849727796346","695.3824666415003","665.4784766916215","570.4446819194425","790.5053559157866","546.2997557821351","130.12492405699246","781.5823082778106"
"110000","509.3934961920357","226.1771880413183","689.612525870815","413.52534724559933","192.02513518477895","632.5234074954761","233.0042853567734","148.37309346342354","371.5583380955476"
"112500","549.2837100664657","353.057435159571","696.5000532478709","712.0381195297708","467.05281888440584","872.5409165047928","696.033062788233","598.8990829593083","789.4703591800317"
"115000","606.0495372537972","464.3552492814518","687.0720911294723","836.1709479744135","801.2739916916762","873.2869166563851","352.24663963387803","225.80166964038455","432.1248603668675"
"117500","732.7150120229603","693.1623932144587","802.8273398454204","446.9309559008148","132.47986047236859","780.3154884012595","316.1540291612056","215.5520682175801","385.7940880916286"
"120000","648.39142326606","512.2403396731719","791.8145149026539","728.3109337900223","502.7514908804681","873.0832629322689","482.83256622590505","223.35304189087574","806.4762311368937"
"122500","586.3689971388021","381.8119222394924","717.0702859186679","400.997723291898","130.16837408836267","706.433646716706","533.841100263232","422.1312937088991","739.3492341544479"
"125000","537.7706868814145","317.3273933519096","666.9309636096237","745.6396699008264","575.1114557600918","875.3000007308361","339.2152934132907","159.43082806758468","443.9089353431579"
"127500","582.3507344729891","426.35386206425846","665.939569350435","751.5073274795163","571.5307225413911","871.5919707851592","393.04463695754475","338.0546305329082","420.75518901121416"
"130000","665.3590603211636","562.5507405934916","752.8628433937931","634.8274693458624","315.62658327438095","794.9570056377325","787.8886624795992","685.454777830236","873.8706260429102"
"132500","618.2478652741721","403.3630678285473","768.9669060596774","643.1085049321737","219.19794323878122","877.8044148761637","488.0443395915645","224.60250212321276","769.8457176106078"
"135000","749.2045152810264","639.0010851678047","877.3732818071078","820.0848429120557","735.6186624063905","869.4067718799317","602.4275566973374","443.79147841155066","811.2219474194632"
"137500","539.9642655622629","394.44000071559356","634.4335013546495","669.2921673944194","410.4999922720611","867.9038034111102","480.26002493480536","288.88024743835706","796.5703125684892"
"140000","762.0724850077381","637.8967727148986","877.5716724558639","791.4066384965927","651.2613036198404","882.6567265914003","661.3052305386176","495.25625738145163","754.6794624247963"
"142500","577.012597981814","432.0657021683743","666.7598261161871","847.9797964912774","830.5846029258671","866.5554710712179","808.2743946134302","677.3821733455798","877.689813588185"
"145000","740.6556601755905","675.5668466682887","820.7624596036949","851.0667237896641","829.4667045161934","866.7624566062289","658.7455156181326","341.7355633526055","854.5589733542754"
"147500","786.2310867047676","665.3779535782253","865.1612088134501","759.1264199679958","543.6171888931636","871.8020742858356","794.1579965406412","718.4661146807852","879.4197363054607"
"150000","775.5973723482366","631.4502523632884","876.0706056019142","849.6021564328961","793.8398496875716","877.645305853237","817.4823881106872","716.1113245614335","879.4710380616498"
"152500","829.0439129289349","781.5191682954608","877.6625113192979","822.7594864272105","801.7884626394946","853.0416886878859","779.445851988234","600.6517012466529","872.9936214084403"
"155000","797.4979244360323","695.378161089259","863.0296457561839","805.5206692652441","776.8296710686534","846.1341315954629","832.5254391533845","781.2342683625026","881.0534420067991"
"157500","772.9088836088569","697.2949069802705","813.0129876198811","828.2506249886552","801.0738825550263","881.4739925647873","754.1979441877066","695.9872324977835","850.4704600382016"
"160000","776.8332566446588","758.5078407641168","801.0492995897605","804.4833861485085","802.5165562916006","807.7789377427866","814.607667136586","766.8452036994759","864.4247692248837"
"162500","789.892076698577","707.7882610487386","879.545651155037","802.298718876876","793.7028757095137","809.1229781829087","865.7809111171042","856.7246145767419","871.8068159649371"
"165000","784.448590542977","716.3974739271926","870.605710088875","845.3842822720079","808.426951535415","866.1821482214967","677.4754010588578","438.8905756764576","857.479892476985"
"167500","670.6091656634011","491.8735773669021","872.7872460498074","865.9582947758173","856.6700276988613","877.0307008564417","776.1851229658045","638.8321462221635","859.858457070053"
"170000","856.6010787254767","836.3433581558123","879.6318497428689","817.166235893629","708.0968722137972","880.0722861348893","613.7479300174828","290.60869434698714","867.0515208893096"
"172500","723.961849506583","548.14870241721","874.9235404502544","827.9525340620307","796.2290064078152","875.0939673283707","690.2257429338812","558.5315098267014","870.1610501280236"
"175000","831.1698959819729","767.3990271331772","871.6825057295043","840.7249438083896","812.0244890789455","860.4417149416392","689.669168061418","671.9035475424391","715.9759169750433"
"177500","716.4486867246706","492.977337017487","878.3088912932772","791.598471179033","650.2646172506079","873.4974464269466","737.2449310130045","657.8335529841231","861.5444349487376"
"180000","727.722349515678","604.6657293747882","877.7779740363906","835.9823295380969","814.6343425599349","872.486045865094","644.5250162699384","471.9678987020596","776.8373453524879"
"182500","706.9441506387251","485.8860497119191","878.1716158536707","841.8400191025372","796.9808204799585","868.3331086507982","790.7472482517578","740.4502642168029","870.3462971583824"
"185000","805.4184008025292","756.3377266935752","874.5891089429963","843.5706488783744","785.5412764404422","876.0726181356506","849.2746166123252","803.9255671341497","874.7590130224637"
"187500","702.4155184361033","659.7348353825931","760.1072838756947","846.2073988594249","796.2205555281975","872.1647788074521","846.1744521171177","803.5032039363821","878.1966534345138"
"190000","811.9037623978178","772.0309484377788","841.9080323050414","862.6509677613639","851.4834899160236","872.1159221248636","845.5001153782729","799.7105416838355","868.8386893230727"
"192500","832.7743205697337","802.5387712262684","849.9178057771253","700.2764183041037","362.553132655364","876.5743552324484","807.7040267415941","754.6288862768869","864.1693790195125"
"195000","853.8097435523741","835.9348937508739","865.977520482845","845.8800572630684","804.1221152769169","872.242908380664","846.9334002846639","800.0858168372426","877.056479087342"
"197500","766.1180764886227","698.1115642709535","863.4990119988779","862.9998722827777","855.6705296655149","877.180347996434","853.151260200409","806.3108846282357","877.3745391634562"
"200000","771.7698441566178","701.9032205046726","862.7387203383707","847.5472365974086","802.7158681838994","880.5177583306655","768.4884559838029","673.3970609963447","853.3640339065917"
"202500","782.9943990637272","697.9706213351604","864.6545892012844","873.485340934675","865.9194724412461","880.5013561371246","781.0052367914935","668.8754415202061","871.0692699067946"
"205000","813.7787321862628","782.820165140173","862.4476177066215","875.6295506402639","866.1941130289837","880.6024337701458","803.5886957369486","742.229864632926","864.1141048710291"
"207500","864.7639344093772","859.4518606448486","871.8355181873615","870.4393600968274","851.5103537650942","880.5578076950154","826.7087921049388","780.9221912390312","850.4078300622756"
"210000","842.9671916737103","789.9814905344638","873.115727384375","866.7491723065838","859.765598551168","873.3265511231766","747.0766112188127","507.9353680975428","877.9805069922592"
"212500","802.3682049850162","687.4422342231863","870.2489607147356","872.2669884206692","863.3932340032436","881.963744726746","829.800764009307","798.5690051284105","864.0488002577982"
"215000","771.9338543317905","660.0927705610541","866.7025173459591","852.1842391801041","804.1679631951943","880.3469171335962","834.486827283606","762.7616406758427","879.7833492546379"
"217500","819.9265830177233","786.326956541349","865.3319501961172","874.0504760970704","866.3281216651787","881.2525629313062","826.5378180196562","747.2895300635706","871.1604265416903"
"220000","811.6728377301597","771.6147781685497","863.6608587678089","865.5591290546623","838.8703001094597","880.1238964231064","816.3470956757595","786.9554704124729","864.4027319550858"
"222500","822.9029151084591","768.742132089223","872.6299010506697","872.3513112735518","868.1681943025969","877.5009228631465","828.2656618636644","769.9385588243393","868.0450625689333"
"225000","779.0339396475639","648.0559887595463","856.4084201030288","856.0265203187664","808.0517812727627","880.8799431922414","827.5929303154866","767.462257642688","878.7368571928977"
"227500","828.3356720510274","772.0873921266068","874.0511560287981","873.3052563017228","866.0578010300367","879.058233114037","871.8632984463948","863.6218882177324","881.3025067662347"
"230000","835.0907968956072","780.5800321663718","871.1747558469527","849.0988070280378","785.7382044418562","881.995661370553","841.0536170502592","790.8034573749004","877.4586027226165"
"232500","853.3342439384047","824.0823312211047","871.1731583023393","878.9441294510971","875.9186925452268","882.9605226895889","795.9479904149301","731.2038856119065","872.3575439607645"
"235000","824.4341361266057","788.1850673862284","856.3517150936692","855.6183564739113","822.1383179470992","880.6126095883619","872.7545227160872","867.6101514175667","878.2471007055449"
"237500","808.0986352772983","770.6988660345353","871.2460693296601","837.9195865180942","800.4540062571925","879.3235541667764","822.1401772836572","786.2067575728975","878.1766294137357"
"240000","833.5772410659639","816.8516853573101","861.7834958172709","845.6542780043552","801.8619089899703","871.621922457782","827.3763274566167","780.6031194422924","870.9404350479972"
"242500","813.7302182304958","762.740638007941","866.0595113326272","851.1459861511072","802.5971895052905","879.5592295147142","622.8758758671324","406.0603599992069","780.6401164794245"
"245000","827.5164625059979","767.2128839399189","866.6861842747223","863.7709915027968","832.0959636807323","882.4010342458978","788.0964766993608","745.5716105105547","827.1545556351364"
"247500","821.5755777239033","777.5300084665475","845.0613213780449","849.8597092128261","809.6687834745351","876.4061191284281","732.1577003521438","536.3466469470658","873.7928917922515"
"250000","742.6510796453531","662.8429642979142","789.2884201618447","839.428048687732","802.6817621018324","873.6356258685425","801.5111908219654","730.5340592035252","877.3329023921633"
"252500","796.6514242952204","775.5339346650233","836.0485031527867","853.9450485652966","841.3668251274515","874.4033984032721","849.3014027621994","803.0982302787086","875.6485994785613"
"255000","803.0791337570851","775.9327720479234","832.6319187728775","848.4705561909124","794.6983019180914","879.5887609118556","693.9003375764693","513.5811844503703","786.5969248230537"
"257500","785.976289261459","723.4508585825191","843.6919600152378","854.1310824836504","809.9844639572602","877.9998214220525","706.9704174768998","464.9026323257546","878.6615983399963"
"260000","835.6612755177802","815.7370416476931","847.8093077853046","873.0025293092591","856.995581720297","882.9151561806282","763.8278929940642","686.1240269130677","825.897205758975"
"262500","832.3363709821234","802.5252524132878","863.0218879940048","876.7948638960279","872.5792082304973","881.6128963101282","811.7681782563322","695.8233148239152","872.4945983993712"
"265000","854.6228352850895","833.0335038017067","874.4922381903576","878.1801665244789","874.9797126331332","882.7019536012834","831.6912812148174","799.2144162991223","849.070849948918"
"267500","847.1150548868264","830.6886195190257","875.2154166373678","853.3858008202595","799.9367287267428","882.4261549339469","846.5063736877551","799.960206343943","874.492375392231"
"270000","787.8992711584636","784.616322439056","790.9795153450425","858.257058071296","818.9857858387671","879.8277885299964","783.5148903045198","672.8957751108926","876.1233643526845"
"272500","747.3627041744345","644.3549714499701","805.7555183483626","880.1573432560868","879.1813400432371","881.7436091786337","850.3177006323139","825.8468165513075","872.1491320331246"
"275000","779.5314554898672","700.3733901740395","843.2936313589905","880.4770533245506","877.6673521969436","882.9647021852245","804.9748403207576","746.3048681847091","865.7782689680309"
"277500","831.2653915107297","762.8928541408989","878.2209293762793","854.8129491690079","802.7212035869832","881.887173299939","782.4072063834137","713.5939213633671","840.3207673429202"
"280000","834.1734239205156","767.5702662473952","878.8053695021023","876.2225078973324","876.0270429141945","876.3952627805226","839.6767715011293","800.4077153360537","874.4723040331746"
"282500","830.0738371962407","762.3019067760495","875.6583325650556","853.1885034805488","798.8936212844441","880.5626587395552","844.2625319883842","803.0094167349405","866.4080787954924"
"285000","800.8797863758467","706.6447150790525","869.0261143956934","874.3485414033051","869.9680141973564","877.2181437944621","859.7653712174905","845.2368860363331","869.8804749455628"
"287500","838.7289598932031","766.2881828709761","877.6257183865566","872.0360230566431","866.4497652034909","877.9761826097056","811.4371776861268","741.9933254572716","878.6358954969517"
"290000","801.8081201411759","785.11696702621","831.5206500581705","879.48492226486","878.3251765061093","880.5400601393958","824.4991458699836","740.9468600748477","867.5999603348002"
"292500","843.2696657218985","780.2279202061912","880.5947437265368","879.3447583112629","877.964888814468","881.9118887119287","840.6596927173472","803.5983384501657","861.1400047506804"
"295000","820.4143682765203","774.8353782263828","847.6189330277775","872.7971742271338","869.2896819007099","875.4253616858481","839.3203755953972","802.5820314056751","859.5147110285891"
"297500","815.7101355996116","791.1956644390618","850.2322788097484","862.4055064741256","839.6023264336627","875.0803792402387","827.5666971280702","760.5150338166477","871.5064571668506"
"300000","743.6290984077309","509.894599500895","878.441521375461","869.8875423368669","855.8586529153806","880.4861975903056","839.322861762911","765.2419967380898","880.0376765186753"
"302500","765.6639476660225","583.0540024132982","858.034441369291","857.7603065531142","821.0627477835591","876.3299180025285","862.543860334732","847.5704055132977","880.3381558464474"
"305000","864.2371071806255","839.5057127069219","880.0383346617879","855.0396758878838","811.5956905867517","878.3249071767881","820.9007492582913","784.7707646903832","870.2871888836993"
"307500","865.5111871959822","840.5409592901727","878.5629516422803","857.0762523843958","810.1215179239034","881.8405341135592","829.4177731434519","761.162655814817","872.5903698953238"
"310000","866.1290375779269","859.5831886231256","872.4604793780607","876.5449039755931","869.9021973849751","881.9680256200651","852.5004264256595","821.7308980183361","871.0926500085421"
"312500","826.3526858313039","779.6310293551337","873.1485248531957","853.5610882054519","811.4138117746891","876.6675427845832","847.9951472294642","815.6140089759543","874.9378107973114"
"315000","805.3666010495491","778.9093119612645","856.0462955639348","870.9319985577107","854.934748295691","880.0790994802679","865.047591327287","851.9347318978719","874.8950529327731"
"317500","833.5837198081593","777.8536920940614","875.0808700793771","877.0379363024468","876.0275567113913","877.6860123198945","867.6540819115365","859.0860163389046","876.7044923836177"
"320000","827.7653518871616","791.6754085325563","849.820975509538","863.1492622503897","839.9039997568132","879.0631335629571","875.788124485488","865.1540977184222","882.3582745753802"
"322500","843.6832095482832","775.883076319122","877.8483386157156","873.9673435478358","871.3461299046112","876.7302259161394","872.1940418078799","858.1982791280801","881.9731971305839"
"325000","854.5209115526092","835.2802955745101","881.1182890834441","869.1432267254764","861.367937784363","873.3760337276859","872.5352964853992","858.7882642461345","879.4883022476819"
"327500","809.591456395442","732.3657101042963","869.189373695968","877.2389079257191","871.9349756918521","881.0487972045306","874.6842263784739","863.5334960162156","880.2956032230386"
"330000","840.9317358449057","792.0014338395756","871.6160789463283","873.4556562624081","867.039538470369","881.0025489178821","869.9806369622871","862.7302137430066","879.3338941750346"
"332500","829.3100797218209","782.9516564180378","862.5478627029494","878.4907215096781","877.3205104920968","880.3164619272715","867.4637863156244","863.456094349435","874.7197933139594"
"335000","862.3121206742993","846.8806095387838","876.8374253230228","879.3489776739933","877.3323746234986","880.6078913327747","864.327927172793","856.0480815431135","876.6138106138769"
"337500","833.494474651931","780.0537712577888","866.6421950656811","874.5021301548221","864.626350864071","882.4586132076671","869.7758053887077","859.8949175192396","876.8970866582486"
"340000","794.9196337018075","694.9454976440405","865.062055913408","875.6887269775079","872.917150547078","880.9598864204347","868.9090098412563","855.5174782477965","878.2562785981557"
"342500","859.0546837279162","842.3617355283028","868.1429456989611","877.217816050197","873.62350055299","880.1774565967484","871.5907273034308","864.0879928960396","879.1505261973052"
"345000","847.1317341382056","803.2369650157386","870.8146923613331","874.6025983608921","870.7614176638733","877.9653129380455","871.7108261697068","857.875607121153","879.1571586457776"
"347500","870.6266524271861","861.2939691370726","875.7679571439876","878.2094323711323","875.8115863032824","880.2687318431223","870.1794974439885","865.1558929104369","879.6107079334375"
"350000","862.3274441073736","853.2295887916425","870.074153800648","878.2731338850659","875.4583431019964","882.9231166343867","875.3736737411094","872.7292247171108","879.5769308604322"
"352500","835.8125267527425","813.316521307541","852.8870108891375","878.5931844276301","873.6687401928153","882.5448715855503","868.1622093030822","861.752321602478","878.556509697318"
"355000","830.8468500279001","759.9980601757909","878.1291950334878","874.0722205342403","870.0891114755617","878.1155376304616","867.4147561397049","863.0589979471806","870.7650802456486"
"357500","851.5213381274704","826.0427389373406","865.9591919003475","876.2255081027337","874.1416668139233","878.2017369888697","876.9333927664376","874.8633617122381","879.2494581639658"
"360000","867.2453917831798","858.1920269488799","878.494187519357","875.7394567726969","873.2487241277528","877.1003442292397","875.9222326737772","872.0294336120241","879.688756453283"
"362500","843.2969014284516","803.5068998936903","875.1387125819789","878.8645794166072","875.6676171221943","880.6820023413457","876.0565500225039","868.085704660499","881.0817799060678"
"365000","835.1878136140007","805.5475173135541","878.6931211342893","873.7889368986826","869.1553340919912","879.7409359194593","873.640284356452","861.7953055205295","879.6210518160453"
"367500","854.4749437384753","842.2711961838177","875.1162488810584","873.3681206672651","868.4793878993958","878.0122412537028","876.8155986931391","870.1820884310467","881.1083965330505"
"370000","853.7917552449529","830.4287626329042","874.1732811647889","877.4937178343233","874.7628712486079","881.5818335059632","875.4147543453637","871.325167980415","879.2601603272478"
"372500","863.1401076740525","846.8231267429068","871.943744009006","873.3875243695056","869.2090784056963","877.3495377392694","876.4915088571476","869.5178864108859","880.2530471836205"
"375000","856.0164532428886","826.5591143844047","878.3313857046862","875.1753445564833","872.2235086070556","877.744756631434","867.2191100228894","851.4075334682153","880.8447716460284"
"377500","846.0822047298456","833.6068660126157","860.4360308462223","875.0944997436833","868.929525249486","878.6622267913444","873.2189079092926","864.8605295757964","877.8918373453946"
"380000","821.2180215241173","737.3119642692052","880.4630640382635","878.112386206522","877.3313979065858","878.8983567124831","870.6568872227925","866.6868223629378","875.9684486381433"
"382500","850.9310915004306","799.0456702871444","879.337947540522","874.8524296714392","874.2204637722665","875.4324747950435","874.2577992614671","869.1743127662754","881.2011308122852"
"385000","846.3235734482774","792.5839077059329","877.2016500881962","875.2571314312155","868.9689318420571","879.3710760353649","879.9331759544194","876.6312152790472","881.9830798460556"
